,Unnamed: 0,page,country,rev_id,score
27545,27306,Kęstutis Glaveckas,Lithuania,789311530,Stub
27546,27307,Petras Giniotas,Lithuania,789311535,Stub
27547,27308,Algirdas Endriukaitis,Lithuania,789311539,Stub
27548,27309,Juozas Dringelis,Lithuania,789311543,Stub
27549,27310,Medardas Čobotas,Lithuania,789311547,Stub
27550,27311,Egidijus Bičkauskas,Lithuania,789311572,Stub
27551,27312,Anne Bouquet,France,789311625,Start
27552,27313,Vytautas Sakalauskas,Lithuania,789312010,Start
27553,27314,Ekrem Alican,Turkey,789312949,C
27554,27315,İdris Bal,Turkey,789313039,Stub
27555,27316,Mihri Belli,Turkey,789313057,C
27556,27317,Hayrettin Erkmen,Turkey,789313131,Stub
27557,27318,İhsan Eryavuz,Turkey,789313142,Start
27558,27319,Garo Paylan,Armenia,789313167,C
27559,27320,Halis Öztürk,Turkey,789313478,Start
27560,27321,Mehmet Şandır,Turkey,789313507,Stub
27561,27322,Kıznaz Türkeli,Turkey,789313562,Stub
27562,27323,Oktay Vural,Turkey,789313630,Stub
27563,27324,Diyap Yıldırım,Turkey,789313644,Stub
27564,27325,Fatih Erbakan,Turkey,789313860,Stub
27565,27326,Abdallah Deng Nhial,Sudan,789314789,C
27566,27327,Awut Deng Acuil,South Sudan,789314797,Start
27567,27328,Oyay Deng Ajak,South Sudan,789314838,Stub
27568,27329,Abdallah Albert,South Sudan,789314847,Stub
27569,27330,Abel Alier,Sudan,789314854,Start
27570,27331,Gier Choung Aloung,South Sudan,789314858,Stub
27571,27332,Mayen Ngor Atem,South Sudan,789314867,Stub
27572,27333,Muki Batali,South Sudan,789314868,Stub
27573,27334,Barnaba Marial Benjamin,South Sudan,789314877,Start
27574,27335,Gabriel Changson Chang,South Sudan,789314881,Stub
27575,27336,Louis Rizick Dominic,South Sudan,789314890,Stub
27576,27337,Gabriel Duop Lam,South Sudan,789314894,Stub
27577,27338,Peter Gatkuoth,South Sudan,789314898,Stub
27578,27339,Nyaluk T. Gatluak,South Sudan,789314904,Stub
27579,27340,Ngota Ifeny,South Sudan,789314909,Stub
27580,27341,John Luk Jok,South Sudan,789314911,Stub
27581,27342,Jemma Nunu Kumba,South Sudan,789314920,Start
27582,27343,Agnes Kwaje Lasuba,South Sudan,789314932,Start
27583,27344,Ann Itto Leonardo,South Sudan,789314936,Start
27584,27345,Thomas Lodu,South Sudan,789314938,Stub
27585,27346,Toby Maduot,Sudan,789314956,Start
27586,27347,Alison Magaya,South Sudan,789315016,Stub
27587,27348,Anthony Lino Makana,South Sudan,789315033,Stub
27588,27349,Kosti Manubi,South Sudan,789315038,Stub
27589,27350,Isaac Awan Maper,South Sudan,789315042,Stub
27590,27351,Clement Maring,South Sudan,789315043,Stub
27591,27352,Luka Tombekana Monoja,South Sudan,789315046,Stub
27592,27353,Pricilla Nanyang,South Sudan,789315058,Start
27593,27354,Cirino Hetieng Ofuho,South Sudan,789315064,Stub
27594,27355,Gismalla Abdalla Rassas,South Sudan,789315074,Stub
27595,27356,James Kok Ruey,South Sudan,789315076,Stub
27596,27357,Wol Dheil Thiep,South Sudan,789315094,Stub
27597,27358,Joseph James Tombura,South Sudan,789315101,Stub
27598,27359,Luka Anthony Ubur,South Sudan,789315104,Stub
27599,27360,Madut Biar Yel,South Sudan,789315111,Stub
27600,27361,Makuac Teny Youk,South Sudan,789315118,Stub
27601,27362,Barnaba Okony Gilo,South Sudan,789315486,Stub
27602,27363,Rachu Jakin Korok Lom,South Sudan,789315500,Stub
27603,27364,Peter Chol Wal,South Sudan,789315517,Stub
27604,27365,James Mayuol Thor,South Sudan,789315520,Stub
27605,27366,Duoth Koang Rueh Wour,South Sudan,789315524,Stub
27606,27367,Anne Huotari,Finland,789318196,Stub
27607,27368,Bathabile Dlamini,South Africa,789318246,C
27608,27369,Nozizwe Madlala-Routledge,South Africa,789318287,B
27609,27370,Lindiwe Mazibuko,South Africa,789318304,GA
27610,27371,Nomaindia Mfeketo,South Africa,789318307,Start
27611,27372,Gerald Morkel,South Africa,789318318,Start
27612,27373,Anne Kalmari,Finland,789318677,Stub
27613,27374,Agénor de Gasparin,France,789318786,C
27614,27375,Anne Kremer,Luxembourg,789319175,Start
27615,27376,Anne Louhelainen,Finland,789320178,Stub
27616,27377,John Eriksson i Bäckmora,Sweden,789320236,Stub
27617,27378,Margareta Larsson,Sweden,789321004,Stub
27618,27379,Eli Ben-Menachem,India,789321136,Start
27619,27380,Lage Rahm,Sweden,789321477,Stub
27620,27381,Lakshman Algama,Sri Lanka,789321521,Start
27621,27382,Jesper Skalberg Karlsson,Sweden,789321872,Stub
27622,27383,Nancy Kemp-Arendt,Luxembourg,789323657,Start
27623,27384,Joseph Keke,Benin,789323854,Stub
27624,27385,Olga Bodnar,Ukraine,789324875,Start
27625,27386,Olena Fedorivna Bondarenko,Ukraine,789324884,C
27626,27387,Viktor Musiyaka,Ukraine,789325065,Stub
27627,27388,Viktoria Siumar,Ukraine,789325106,Start
27628,27389,Iryna Suslova,Ukraine,789325126,Stub
27629,27390,Moishe Zilberfarb,Ukraine,789325217,Start
27630,27391,Ihor Zhdanov,Ukraine,789325922,Stub
27631,27392,Patrick Devedjian,Armenia,789326146,C
27632,27393,Anne Sophie Hunstad,Norway,789326636,Start
27633,27394,Anne Sulling,Estonia,789327183,Stub
27634,27395,Viktor Abramov,Russia,789327246,Stub
27635,27396,Jacques Trémolet de Villers,France,789327377,Start
27636,27397,Alu Alkhanov,Chechen,789327678,C
27637,27398,Ruslan Amerkhanov,Russia,789327716,Start
27638,27399,Andrey Anatoliyevich Andreyev,Russia,789327757,Stub
27639,27400,Alexander Babakov,Russia,789327870,Start
27640,27401,Alexey Barinov,Russia,789327880,Stub
27641,27402,Oleg Betin,Russia,789327921,Stub
27642,27403,Bu Xiaolin,China,789327926,Start
27643,27404,Valentin Bobyrev,Russia,789327941,Stub
27644,27405,Vladimir Bryntsalov,Russia,789328110,Stub
27645,27406,Alexey Chernyshov,Russia,789328115,Stub
27646,27407,Adam Delimkhanov,Chechen,789328171,Start
27647,27408,Alexander Dzasokhov,Ossetian,789328182,Start
27648,27409,Alla Gerber,Russia,789328226,Start
27649,27410,Ivan Musatov,Russia,789328366,Stub
27650,27411,Mikhail Musatov,Russia,789328371,Stub
27651,27412,Gennady Onishchenko,Russia,789328402,Stub
27652,27413,Ella Pamfilova,Russia,789328409,Start
27653,27414,Konstantin Rykov,Russia,789328428,Stub
27654,27415,Damir Shadaev,Russia,789328461,Stub
27655,27416,Vasily Tarasyuk,Russia,789328527,Stub
27656,27417,Yury Vlasov,Russia,789328592,GA
27657,27418,Sergei Zheleznyak,Russia,789328614,Start
27658,27419,Beness Aijo,Latvia,789328822,C
27659,27420,Sergei Aksenov,Russia,789328835,Start
27660,27421,Alexander Chernogorov,Russia,789328923,Stub
27661,27422,Roman Grebennikov,Russia,789329062,Stub
