,Unnamed: 0,page,country,rev_id,score
33927,33623,Hovik Jivanyan,Armenia,796744496,
33950,33643,Stanford Morse,United States,796758810,
34472,34161,Dan Hilton,Canada,797311794,
35051,34736,Volodymyr Manzhosov,Ukraine,797902544,
35197,34879,Misir Mardanov,Azerbaijan,798073295,
35769,35449,Jesse Spikes,United States,798615865,
35857,35533,Dahir Riyale Kahin,Somaliland,798692052,
35959,35635,Ramesh Chander Bidhan,India,798841317,
35995,35666,Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,
36045,35712,Maria Hadjipavlou,Cyprus,798891126,
36132,35796,Kevin Malcolm Everett,United Kingdom,798945915,
36141,35801,Darcie Lanthier,Canada,798952867,
36249,35904,Morteza Kazemian,Iran,799036953,
36485,36136,V. Sadasivan,India,799263010,
36524,36171,Norm Wolfinger,United States,799300265,
36811,36465,Mohd Eekmal Ahmad,Malaysia,799540668,
37171,36825,Raja Muhammad Akbar Khan,Pakistan,799880073,
37245,36895,Rich Eychaner,United States,799933274,
37297,36944,José Francisco Gomes Monteiro,Portugal,799981363,
37386,37029,Michael McInerney,Ireland,800072571,
37467,37105,Craig Huey,United States,800144885,
37580,37214,Abhimanyu Rao,India,800233652,
37801,37431,Donald Jeffrey Large,United States,800299837,
37991,37617,Dragan Klaric,Sweden,800471126,
38075,37698,Bashir Ahmed Sarki,Pakistan,800574730,
38214,37833,Siddique Nazmul Alam,Bangladesh,800707821,
38337,37953,Vasyl Stefanyk,Hungary,800802122,
38740,38352,Georges Sada,Iraq,801177435,
38969,38578,Anwara Ali,United Kingdom,801306872,
39334,38939,Secular and Nationalist Jinnah,Pakistan,801536406,
39390,38991,Ambedkarism,India,801563949,
39397,38994,Michael Briguglio,Malta,801566979,
39503,39097,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,
39551,39141,Abhijit Pandya,United Kingdom,801696196,
39681,39267,Ouyang Xiu,China,801835819,
40014,39596,Ali Asghar Khan (politician),Pakistan,802148439,
40133,39711,List of politicians on Veep,United States,802302246,
40387,39961,Daniel O'Neill (Royalist),Ireland,802445176,
